batch_size model_type lr max_length_series segment_duration num_conv_lyrs size_linear_lyr num_blocks_per_layer initial_channels lstm_hidden_size lstm_layers norm_type mean_accuracy mean_f1_score mean_gmean mean_precision mean_recall std_accuracy std_f1_score std_gmean std_precision std_recall total_params
128	cnnlstmskipparallel	0.001	4000	50	2	16	2	8	8	2	'per-timestep'	0.8960	0.9074	0.9422	0.9087	0.9071	0.0081	0.0076	0.0048	0.0074	0.0073	5598
128	cnnlstmbatchnorm	0.001	4000	50	2	16	4	8	8	1	'per-timestep'	0.8958	0.9069	0.9412	0.9073	0.9071	0.0227	0.0199	0.0137	0.0199	0.0197	1606
128	cnnlstmskipparallel	0.001	4000	50	2	16	2	8	6	2	'per-timestep'	0.8956	0.9074	0.9420	0.9084	0.9069	0.0075	0.0064	0.0042	0.0062	0.0064	5174
128	cnnlstmskipparallel	0.001	4000	50	2	16	2	8	6	1	'per-timestep'	0.8955	0.9063	0.9414	0.9074	0.9060	0.0065	0.0057	0.0034	0.0053	0.0058	4838
128	cnnlstmskipparallel	0.001	4000	50	2	16	2	8	8	1	'per-timestep'	0.8937	0.9049	0.9406	0.9061	0.9044	0.0074	0.0067	0.0045	0.0071	0.0064	5022
128	cnnlstmbatchnorm	0.001	4000	50	2	16	2	8	8	2	'per-timestep'	0.8928	0.9035	0.9389	0.9039	0.9043	0.0253	0.0235	0.0157	0.0231	0.0235	2182
128	cnnlstmbatchnorm	0.001	4000	50	2	16	2	8	8	1	'per-timestep'	0.8905	0.9017	0.9377	0.9018	0.9020	0.0207	0.0183	0.0122	0.0183	0.0185	1606
128	cnnlstmbatchnorm	0.001	4000	50	2	16	4	8	8	2	'per-timestep'	0.8903	0.9013	0.9374	0.9020	0.9018	0.0345	0.0317	0.0214	0.0314	0.0309	2182
128	cnnlstmbatchnormparallel	0.001	4000	50	2	16	2	8	6	1	'per-timestep'	0.8896	0.9027	0.9386	0.9034	0.9028	0.0093	0.0083	0.0056	0.0085	0.0079	4190
128	cnnlstmbatchnormparallel	0.001	4000	50	2	16	4	8	8	2	'per-timestep'	0.8895	0.9025	0.9386	0.9035	0.9026	0.0121	0.0109	0.0069	0.0104	0.0103	4950
128	cnnlstmbatchnormparallel	0.001	4000	50	2	16	4	8	8	1	'per-timestep'	0.8891	0.9013	0.9377	0.9020	0.9015	0.0113	0.0104	0.0067	0.0101	0.0106	4374
128	cnnlstmbatchnormparallel	0.001	4000	50	2	16	2	8	8	2	'per-timestep'	0.8888	0.9012	0.9375	0.9019	0.9016	0.0086	0.0078	0.0053	0.0079	0.0074	4950
128	cnnlstmskipparallel	0.001	4000	50	2	16	4	8	6	2	'per-timestep'	0.8871	0.8994	0.9367	0.9005	0.8997	0.0095	0.0082	0.0053	0.0079	0.0082	9206
128	cnnlstmskipparallel	0.001	4000	50	2	16	4	8	8	2	'per-timestep'	0.8871	0.8986	0.9365	0.8999	0.8985	0.0093	0.0082	0.0054	0.0082	0.0082	9630
128	cnnlstmbatchnormparallel	0.001	4000	50	2	16	4	8	6	2	'per-timestep'	0.8863	0.8986	0.9360	0.8992	0.8990	0.0081	0.0078	0.0051	0.0079	0.0076	4526
128	cnnlstmskipparallel	0.001	4000	50	2	16	4	8	8	1	'per-timestep'	0.8862	0.8981	0.9361	0.8993	0.8978	0.0092	0.0080	0.0052	0.0080	0.0082	9054
